gender,age,category,platform,product_name,image_link,currency_symbol,price,delivery_tagline,delivery_days,average_rating,buy_link,ratings_total,product_id,last_updated_on,brands,categories,characters,tags,age_ai,genders_ai
"boy,girl","4,6,7,8,5",toys,amazon-in,Shumee Wooden Butterfly Balance Board (3-8 Years) - Indoor & Outdoor Activity Fitness Toy for Kids,https://m.media-amazon.com/images/I/41PlC163TLL._AC_UL320_.jpg,₹,2939,"Get it by Friday, 26 May",3,4.4,https://www.amazon.in/Shumee-Wooden-Butterfly-Balance-Board/dp/B01N7VJ62W/ref=sr_1_223?keywords=toys+4+year+boy&qid=1684814927&sr=8-223,180,A-B01N7VJ62W,1684822891970,shumee,wooden butterfly balance board,,"indoor, outdoor, activity, fitness, toy, kids",3-8 year old,
"boy,girl",3,toys,amazon,Toddler Backpack with Beads & Bolts - Beads for Kids and Nuts & Bolts - Educational Toys for 3 Year Old Boys & Girls - Toddler Games Toys for Toddlers with Activities eBook with Pig Backpack,https://m.media-amazon.com/images/I/51Z+zIaauDL._AC_UL400_.jpg,$,39.99,Check Retailer site for delivery info,-1,4.6,https://www.amazon.com/Animal-Toddler-Backpack-Jumbo-Stringing/dp/B01N8TTZE3/ref=sr_1_184?keywords=toys+3+year+boy&qid=1684409542&sr=8-184,309,A-B01N8TTZE3,1684412318450,"beads, bolts","educational toys, toddler games","kids, toddlers","backpack, beads, bolts, toys, educational, games, activities, eBook, Pig",3 year olds,"boys, girls"
boy,5,toys,amazon,"Wild Republic Huggers, Tiger Plush Toy, Slap Bracelet, Stuffed Animal, Kids, 8 inches",https://m.media-amazon.com/images/I/61F4cWmr7IL._AC_UL320_.jpg,$,10.99,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Wild-Republic-Huggers-Bracelet-Stuffed/dp/B01N9A34SP/ref=sr_1_254?keywords=toys+5+year+boy&qid=1675076638&sr=8-254,8060,A-B01N9A34SP,1675076767660,wild republic,"plush toys, slap bracelets","tiger, kids","huggers, stuffed animal, toy car, kids, 8 inches",8 inches,"boys, girls"
boy,5,toys,amazon-in,Maisto 1/24 Bugatti Chirony Toy Car- Blue,https://m.media-amazon.com/images/I/61CWKfUYyRL._AC_UL320_.jpg,₹,4131,"Get it Thursday, 8 June - Monday, 12 June",20,4.5,https://www.amazon.in/Maisto-Bugatti-Chirony-Car-Blue/dp/B01N9TKLQH/ref=sr_1_179?keywords=toys+5+year+boy&qid=1684815249&sr=8-179,976,A-B01N9TKLQH,1684815464829,maisto,toy car,none,"Maisto, Bugatti Chiron, toy car, blue",none,none
"boy,girl","1,2,3,5",toys,amazon,Fisher-Price Little People Toddler Musical Toy Swing & Share Treehouse Playset with 3 Figures for Pretend Play Ages 1+ Years [Amazon Exclusive],https://m.media-amazon.com/images/I/71UtgGLC+6L._AC_UL400_.jpg,$,31.99,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Fisher-Price-Little-People-Treehouse-Playset/dp/B01N9XM116/ref=sr_1_47?keywords=toys+1+year+boy&qid=1680773086&sr=8-47,3511,A-B01N9XM116,1684411922081,"fisher-price, little people","musical toys, swing & share treehouse playset","toddler, figures","musical toy, swing, treehouse, figures, pretend play",1+ years,none
girl,5,toys,amazon-in,LEGO DUPLO Creative Building Time 10978 Construction Toy (120 Pieces),https://m.media-amazon.com/images/I/81aMJKwGkhL._AC_UL400_.jpg,₹,4619.2,"Get it by Today, 23 May",0,4.6,https://www.amazon.in/LEGO-Creative-Building-10978-Construction/dp/B01NAIYTBH/ref=sr_1_233?keywords=toys+5+year+girl&qid=1684821176&sr=8-233,30,A-B01NAIYTBH,1684821574128,lego duplo,construction toys,none,"Lego Duplo, Creative Building Time, construction toy, 120 pieces",none,none
"boy,girl","2,3,1",toys,amazon-in,"Fisher-Price Plush Dog Baby Toy with Lights Music and Smart Stages Learning Content, Laugh & Learn Sis​",https://m.media-amazon.com/images/I/717yP4X3vjL._AC_UL320_.jpg,₹,1609,"Get it by Tomorrow, 24 May",1,4.8,https://www.amazon.in/Fisher-Price-Laugh-Learn-Smart-Stages/dp/B01NAS2V1E/ref=sr_1_22?keywords=toys+2+year+boy&qid=1684813855&sr=8-22,8041,A-B01NAS2V1E,1684820085181,fisher-price,"plush toys, musical toys, learning toys",sis,"plush dog toy, lights music, smart stages learning content","infant, toddler",N/A
"boy,girl",3,toys,amazon-in,"Baby Alive Sweet Tears Baby Blonde Hair Doll, Drinks And Cries Tears, With Doctor Visit Accessories, Toy For Kids Ages 3 Years Old And Up",https://m.media-amazon.com/images/I/71uUIFNQX6L._AC_UL400_.jpg,₹,14503.72,"Get it Saturday, 10 June - Wednesday, 14 June",22,4.6,https://www.amazon.in/Baby-Alive-Blonde-Sweet-Tears/dp/B01NAW5ZF4/ref=sr_1_146?keywords=toys+3+year+boy&qid=1684814313&sr=8-146,636,A-B01NAW5ZF4,1684820225108,baby alive,"dolls, doctor set",sweet tears baby,"blond hair doll, drinks tears, doctor visit accessories",3 years and up,N/A
boy,2,toys,amazon-in,Lewo Large Wooden Blocks Construction Building Toys Set Stacking Bricks Board Games 32 Pieces,https://m.media-amazon.com/images/I/71Hoj8GfYGL._AC_UL400_.jpg,₹,7731.15,"Get it Monday, 5 June - Thursday, 8 June",16,4.7,https://www.amazon.in/Wooden-Blocks-Construction-Building-Stacking/dp/B01NBHV2AW/ref=sr_1_102?keywords=toys+2+year+boy&qid=1684813866&sr=8-102,1643,A-B01NBHV2AW,1684814014857,lewo,"wooden blocks, construction toys, building toys, stacking bricks",N/A,"large wooden blocks, construction building toys, board games",3 years to 10 years,N/A
girl,10,toys,amazon,"Matchbox Cars, 1:64 Scale Toy Cars, Buses and Trucks for Kids and Collectors, Set of 20, Styles May Vary​​",https://m.media-amazon.com/images/I/71B89bJPJvL._AC_UL320_.jpg,$,24.34,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Matchbox-FGM48-Online-20-Pack/dp/B01NBHXEAV/ref=sr_1_255?keywords=toys+10+year+girl&qid=1674806456&sr=8-255,2777,A-B01NBHXEAV,1675079615576,matchbox,"toy cars, buses, trucks",N/A,"1:64 scale, toy cars, buses trucks, set of 20",3 years to 10 years,N/A
"boy,girl",2,toys,amazon-in,LEGO DUPLO Town Family House on Wheels 10986 Building Toy Set (31 Pieces),https://m.media-amazon.com/images/I/61ukH6p-lnL._AC_UL400_.jpg,₹,2374,"Get it by Today, 23 May",0,4.8,https://www.amazon.in/LEGO-Family-Wheels-10986-Building/dp/B01NBKDU6J/ref=sr_1_67?keywords=toys+2+year+boy&qid=1684813859&sr=8-67,214,A-B01NBKDU6J,1684819666477,lego duplo,"town family, building toy set",N/A,"town family house on wheels, building toy set, 31 pieces",3 years to 6 years,N/A
girl,10,toys,amazon,"GUND Pusheen and Stormy Birthday Plush Stuffed Animals Collector, Gray, Set of 2",https://m.media-amazon.com/images/I/71j4SCqKLpL._AC_UL400_.jpg,$,25,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/GUND-Pusheen-Birthday-Stuffed-Collector/dp/B01NBMEAMI/ref=sr_1_224?keywords=toys+10+year+girl&qid=1684413970&sr=8-224,2512,A-B01NBMEAMI,1684414090637,"gund, pusheen","plush, stuffed animals, collector",stormy,"birthday, gray, set of 2","adults, children",unisex
